Text	Class	NACE
company purpose is to groundwork and drive trade with fish and fish products as well as second thus after management board estimates related company	0.0	4
at nemco you ll find a wide range of production equipment for food more than years of experience professional advice flexible and innovative	0.0	2
firda is a family owned leading producer of fjord trout from west coast of norway	0.0	4
the company shall conduct the development subcontracting packaging and distribution of herbal medicinal products in the pharmaceutical field as well as carrying out compatible activities	0.0	1
arenco develop manufacture and market efficient machines and complete production lines worldwide for packaging fish processing and match stick production	1.0	4
fm bulk is a specialist in the design and production of machines and complete process plants for gentle and efficient transport and handling of bulk goods	1.0	6
videometer specializes in spectral imaging automated visual measurements and quality control focus is on development and sale of high performance vision systems for a broad range of industries	0.0	2
marel is full line supplier of innovative solutions for the poultry meat fish and further processing industries	1.0	2
experts on color matching color measurement measure and tint software	0.0	5
lumaseance technologies a s develops produces and marketing instruments for measuring controlling and analysing gases and climatic conditions	0.0	2
as in previous years the company s activity consists primarily of the distribution of machines to the pharmaceutical industry and the sale of services spare parts and consumables to the machines	1.0	4
sameba we offer high quality products and solutions for all stages of the packaging production processes our range of products and services includes high quality products from the latest technologies leading manufacturers in the industry	0.0	4
innova lawyer company a law firm where new thinking and practical business understanding are combined with a high level of professionalism for the benefit of our customers	0.0	6
indova build is a total tree designer and a building company specialising in a new entrance and rehabilitation of exclusive homes	0.0	4
innova law firm a law firm where rethinking and practical business understanding combined with a high academically level to advantage for our customers	0.0	6
mekitec ltd is a leading manufacturer of x ray food inspection systems designed to improve quality control processes and brand protection for the food industry	1.0	2
svm automatik a s develops and manufactures assembly packaging and serialization systems for the pharmaceutical industry	0.0	2
linco food systems a s develops produces and sells machines and complete plants for slaughtering and processing of poultry as well as weighing and grading equipment also used in the fish industry as well as other food industries	1.0	2
the company s activity consists in designing producing and selling complex inspection equipment the products comprise pharmaceutical inspection machines as well as automatic inspection equipment for food packaging	0.0	2
the main activity as in previous years was to operate in the field of melting and metals the sale of alloys and their products mainly tin and lead and to sell technology and production facilities	0.0	7
whether it s protecting products preserving food or providing healthcare solutions our products and services along with our commitment to sustainability have made sealed air a leader in protecting everything that s important to your business	1.0	4
company purpose is to drive advisory services before for food safety and f devarekonservering and hereby related company	0.0	7
frontmatec is the world s leading manufacturer of automatic solutions for lamb beef and pork meat processing	0.0	6
as in previous years the company s activities consist of optimisation tasks	0.0	7
advanced vacuum distribution represent edwards vacuum we have vacuum pumps for all applications dry vacuum pumps and oil sealed vacuum pumps everything related to vacuum is are expertise we have authorized service engineers and we repair all types of vacuum pumps as edwards leybold pfeiffer and busch	0.0	4
company purpose is to drive company with debate of packing machines and second thus in connection standing company	0.0	4
the company s purpose is to develop produce and sell innovative cannabinoid products within food supplements and pharmaceutical products and to own and manage related ip patents trademarks etc as well as directly og indirectly related business activitites based on the board of director s assessment	0.0	7
at packwise we design develop and produce packaging solutions with a focus on delivery safety quality innovation and recyclability	0.0	4
innova is a leading supplier of services products and solutions to the oil and gas industry aquaculture renewables and power distribution	0.0	7
bergen plastics are experts in high performance packaging solutions for food detergents and medical use	0.0	2
with our technologies knowhow and industry expertise we help you find solutions that fit into every step of your production process	1.0	2
skaginn x provides advanced chilling and food processing technology systems for increased freshness yield faster processing times and maximum efficiency	1.0	4
specialist in automating and error proofing business processes in manufacturing since technology solutions for wip tracking scrap detection part serializing counting packing labeling and traceability from raw to fin	0.0	7
the company s activities comprise like previous years in sale and service of the groups products within the adhesive division and finishing division	0.0	4
the leading specialist international food packing business	0.0	8
worldwide supplier of equipment for rendering food fish oil environmental protection and biofuel industries haarslev industries manufactures processing equipment to customers in the meat pet food fish oil environmental protection and biofuel industries world wide	1.0	2
foodco global machinery the manufacturer of high technology equipment and control systems for the food processing industry handling meat and fish	0.0	2
company purpose is development production and sale of equipment to food	1.0	2
the company s activities are development production and sale of plate freezers and production and sale of complete handling lines and palletizing facilities for frozen blocks within the global food and feed industry	1.0	2
the main activities of the group and the company are the sale production assembly and service of production equipment made of stainless steel for use in the food industry as well as the sale and service of industrial automation	1.0	2
buy secondhand machinery at fmm we are specialized world wide in second hand equipment for the food industry since early s	1.0	4
as in previous years the main activity has consisted of trade repair rental and investment in the fishing industry	1.0	2
offering a wide assortment of norwegian atlantic salmon fjord trout and atlantic cod	1.0	1
buy fresh fish from thybor n large assortment of fish and shellfish to low prices get it delivered directly to door or pick up it by a fishing car a place near you	0.0	4
company purpose is dissemination of shellfish and fish as well as similar products primarily to krydstogtindustrien as well as second thus after management board estimates related company	0.0	8
the company s main activities are the production and sale of machinery and equipment for production facilities for the fishing industry	1.0	2
wide range in smoked products fresh fish and shellfish and frozen fish products we focus on fish and development	0.0	4
seac ab fish processing machines are one of the main supplier of fish processing machines in the world and we are world leading in very small fish	1.0	4
the company s main activities are the manufacture of lager products and the marketing of frozen picked shrimps in hirtshals as well as the manufacture of caviar and hot smoked trout fillet in two factories in vejle	0.0	1
lavendel hygiene as offers products and services that to improve and ensure your hygiene each day	0.0	4
the kalaneuvos group is specialised in fish farming fish processing wholesale import and export the group is based in finland and sweden	0.0	4
the company s activities shall be to process and freeze fish and therefore to operate in a compatible manner	0.0	1
at milarex food safety is our culture we believe that food safety is a choice you make for us food safety is more than food safety management standards all our consumers deserve a healthy tasty and safe food experience food safety are by many seen as a part of compliance in milarex we think differently read more	0.0	7
nordlaks is a family affiliate based in hadsel vester len we do everything ourselves from rog to finished porsion packs with premium salmon and dried products for customers around the world	0.0	5
company purpose is advice and consultancy within food and fiskeriproduktionsvirksomheder including design of fabriksl sninger before for same area and thereto natural associated with company	1.0	7
the company s main activities consist of trading and consulting within the fishing industry and owning shares in subsidiaries and other related activities	0.0	4
norlax a s is a manufacturer of smoked fish products with smoked salmon and trout as main products the production takes place in its own factory in outrup	0.0	1
scandiflex has been one of sweden s leading producers of printed flexible packaging laminates for the food industry since its inception in	0.0	2
fomaco is a food machinery company that provides injector machines for the food industry around the world	1.0	2
american seafoods is the world s largest frozen at sea processor of sustainable high protein wild alaska pollock and wild pacific hake	0.0	4
contact news and useful websites gathered in one place the start page gives you the best in reise or economics sports and mat drink we ll make the net useful	0.0	7
high quality fish food from oulu norwegian salmon and domestic fish ensure a diverse selection of fish food for a friend check out the best fish recipes	0.0	1
company purpose is trade with food fish fish products and hereby related purpose	0.0	4
salmoncuts exports the best norwegian salmoncuts world wide our passion is to help our suppliers to utilize as much of the salmon as possible and for our customers to get the best and freshest salmoncuts in the world	0.0	4
seaco a s specialise in global production and sales of frozen seafood products our main product is salmon wild and farmed	0.0	4
nordlaks wikipedia is a family owned aquaculture company with base i hadsel wikipedia i vester len we makes alt even from roe to finished portion packs with first class salmon and trout products for customers i entire world	0.0	7
as in previous years the company s main activity has been the processing and sale of fish products	0.0	4
at runi we develop total solutions for waste management worldwide we help you compress your waste efficiently and make money from it	0.0	2
manufactures and sells meat products in turku	0.0	4
